w;x;x*-x;iterations;
;5,999;0,00100426;;
;6,99901;0,000992156;;
;7,99899;0,00100527;;
w;x;x*-x;iterations;
0,46;0,999166;0,000834069;461;
;1,99899;0,0010134;;
;2,99892;0,00108333;;
;3,99888;0,00112431;;
;4,9989;0,00109582;;
;5,999;0,00100087;;
;6,99901;0,000988772;;
;7,999;0,00100176;;
w;x;x*-x;iterations;
0,47;0,99916;0,000840198;448;
;1,99898;0,00102079;;
;2,99891;0,00109116;;
;3,99887;0,00113238;;
;4,9989;0,00110361;;
;5,99899;0,00100794;;
;6,999;0,000995723;;
;7,99899;0,00100873;;
w;x;x*-x;iterations;
0,48;0,999161;0,000838915;436;
;1,99898;0,00101916;;
;2,99891;0,00108937;;
;3,99887;0,00113045;;
;4,9989;0,00110166;;
;5,99899;0,00100612;;
;6,99901;0,000993884;;
;7,99899;0,00100679;;
w;x;x*-x;iterations;
0,49;0,999171;0,000829089;425;
;1,99899;0,00100716;;
;2,99892;0,00107649;;
;3,99888;0,00111701;;
;4,99891;0,00108849;;
;5,99901;0,000994047;;
;6,99902;0,000981924;;
;7,99901;0,000994602;;
w;x;x*-x;iterations;
0,5;0,999173;0,000826682;414;
;1,999;0,00100417;;
;2,99893;0,00107324;;
;3,99889;0,00111357;;
;4,99891;0,00108506;;
;5,99901;0,000990871;;
;6,99902;0,00097875;;
;7,99901;0,000991312;;
w;x;x*-x;iterations;
0,51;0,999168;0,000831778;403;
;1,99899;0,0010103;;
;2,99892;0,00107972;;
;3,99888;0,00112023;;
;4,99891;0,00109148;;
;5,999;0,000996684;;
;6,99902;0,000984455;;
;7,999;0,000997012;;
w;x;x*-x;iterations;
0,52;0,999173;0,000826555;393;
;1,999;0,00100389;;
;2,99893;0,00107281;;
;3,99889;0,00111299;;
;4,99892;0,00108435;;
;5,99901;0,000990129;;
;6,99902;0,000977943;;
;7,99901;0,000990339;;
w;x;x*-x;iterations;
0,53;0,999172;0,000828204;383;
;1,99899;0,00100583;;
;2,99893;0,00107482;;
;3,99889;0,001115;;
;4,99891;0,00108623;;
;5,99901;0,000991802;;
;6,99902;0,000979557;;
;7,99901;0,000991894;;
w;x;x*-x;iterations;
0,54;0,999182;0,000818019;374;
;1,99901;0,00099339;;
;2,99894;0,00106147;;
;3,9989;0,00110108;;
;4,99893;0,00107259;;
;5,99902;0,000979303;;
;6,99903;0,000967175;;
;7,99902;0,000979276;;
w;x;x*-x;iterations;
0,55;0,999186;0,000814017;365;
;1,99901;0,000988463;;
;2,99894;0,00105615;;
;3,9989;0,00109548;;
;4,99893;0,00106706;;
;5,99903;0,000974208;;
;6,99904;0,000962104;;
;7,99903;0,000974062;;
w;x;x*-x;iterations;
0,56;0,999184;0,000816236;356;
;1,99901;0,000991089;;
;2,99894;0,00105889;;
;3,9989;0,00109825;;
;4,99893;0,00106969;;
;5,99902;0,000976555;;
;6,99904;0,000964382;;
;7,99902;0,000976287;;
w;x;x*-x;iterations;
0,57;0,999175;0,000824861;347;
;1,999;0,00100149;;
;2,99893;0,00106994;;
