k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,73367643356323242;13,73367691040039063;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);17,36721801757812500;-4,36721801757812500;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);48,18515014648437500;-34,18515014648437500;
k;xk (îäèíàğíàÿ òî÷íîñòü);x* - xk (îäèíàğíàÿ òî÷íîñòü);xk (äâîéíàÿ òî÷íîñòü);x* - xk (äâîéíàÿ òî÷íîñòü);xk (ñêàëÿğ. ïğîèçâ.); x* - xk (ñêàëÿğ. ïğîèçâ.);
15;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);8,55122661590576172;-7,55122661590576172;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,55776035785675049;3,55776023864746094;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);6,10969114303588867;-3,10969114303588867;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-3,33169007301330566;7,33168983459472656;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-17,49969291687011719;22,49969291687011719;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-8,78921699523925781;14,78921699523925781;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-6,93069791793823242;13,93069839477539063;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-13,72434902191162109;21,72434997558593750;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);6,84041452407836914;2,15958547592163086;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-7,06270122528076172;17,06270217895507813;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);5,42973899841308594;5,57026100158691406;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);54,79196166992187500;-42,79196166992187500;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);68,07308197021484375;-55,07308197021484375;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-1,51098263263702393;15,51098251342773438;
;-na n(i nd);-na n(i nd);-na n(i nd);-na n(i nd);-13,00166893005371094;28,00166893005371094;
